순위,Top Keyword,1,,순위,Top Keyword,1
134,가족영화,0.001111596,,134,제임스,0.001093657
135,인도,0.001098507,,135,다행,0.001086698
136,인정,0.001089478,,136,소피,0.001071785
137,스릴러,0.001082038,,137,재개봉,0.001058127
138,평가,0.001072677,,138,세월,0.001049021
139,니들,0.001071004,,139,연출,0.001043789
140,선택,0.00107072,,140,오늘,0.00101832
141,외계인,0.001064445,,141,선택,0.001013909
142,악당,0.001054172,,142,전개,0.001013263
143,아무것,0.00103267,,143,남자,0.001004009
144,사실,0.001023792,,144,구성,0.000992888
145,리메이크,0.001021327,,145,한순간,0.00098238
146,감성,0.001020429,,146,아래,0.000969279
147,초반,0.001010794,,147,비극,0.000968811
148,로맨틱,0.001000896,,148,의외,0.000967166
149,보신,0.000995168,,149,비밀,0.000959204
150,러닝타임,0.000993693,,150,개봉,0.000958626
151,시대,0.000992323,,151,능력,0.00095379
152,점줌,0.00099152,,152,타인,0.00094945
153,거지,0.000984978,,153,미소,0.000937885
154,유치,0.000976163,,154,할아버지,0.000937665
155,유지,0.000973542,,155,무한,0.000919878
156,홍콩,0.000963713,,156,인상적,0.000917347
157,탄생,0.000954956,,157,이후,0.000917056
158,고인,0.00095436,,158,반영,0.000912289
159,재난,0.000945394,,159,천국,0.000903993
160,반성,0.000940042,,160,남편,0.000902627
161,동안,0.000938966,,161,도전,0.000893176
162,아기,0.000929607,,162,이면서,0.000883608
163,재미있음,0.000925138,,163,완성,0.000877352
164,영화속,0.000923942,,164,세계,0.000861916
165,중독,0.000917098,,165,평생,0.000849707
166,싸움,0.000912344,,166,이랑,0.00084961
167,수가,0.000910694,,167,만세,0.000845746
168,지원,0.000910235,,168,이제,0.000838738
169,간만,0.000904965,,169,영국,0.000838625
170,해지,0.000903923,,170,실적,0.000828341
171,하정,0.000901529,,171,실제,0.000827723
172,박진감,0.000897072,,172,이름,0.000820588
173,외모,0.000886269,,173,마약,0.000819666
174,블록버스터,0.000878844,,174,버스,0.00081292
175,역대급,0.000874357,,175,십점,0.000812208
176,잘못,0.000863834,,176,나이,0.000811682
177,그대,0.00085538,,177,여행,0.000805952
178,섹시,0.00085103,,178,완벽하다,0.000805304
179,웃기,0.000841019,,179,어색,0.000805195
180,홍콩영화,0.00082399,,180,복잡,0.000804973
181,알파,0.000801997,,181,상황,0.00080249
182,할리우드,0.000799405,,182,가족애,0.000787695
183,특유,0.000786349,,183,충실,0.00076814
184,걸이,0.000771594,,184,배역,0.000767815
185,현우,0.000766293,,185,존스,0.000767085
186,영환,0.000764477,,186,지식,0.000766754
187,오해,0.000757388,,187,불가능,0.000764849
188,입도,0.000748015,,188,선수,0.000758517
189,야자,0.000744388,,189,방식,0.000756188
190,시청,0.000739838,,190,목숨,0.000753182
191,작품중,0.000734092,,191,크리스,0.000746473
192,철학,0.000725553,,192,마르소,0.000744655
193,에로,0.000723014,,193,최후,0.000734133
194,완벽,0.000721551,,194,청소년,0.000733512
195,그림,0.000715959,,195,도가,0.000732965
196,재난영화,0.000715412,,196,최소,0.000722264
197,본드,0.000712982,,197,미녀,0.000721393
198,홍보,0.00070508,,198,잔혹,0.00071599
199,매력적,0.000702145,,199,눈빛,0.000713536
200,부부,0.000694282,,200,이소,0.000711076
201,이연걸,0.000691108,,201,죽음,0.000707027
202,당황,0.00068311,,202,남주,0.000703236
203,본영,0.000679981,,203,생각지도,0.000691616
204,흥분,0.000666951,,204,거장,0.000688488
205,말자,0.000665701,,205,엄마,0.000686696
206,청하,0.000659784,,206,연기력,0.000681459
207,종류,0.000643144,,207,전체,0.000678623
208,과학,0.000642676,,208,적극,0.000678338
209,부활,0.000638586,,209,본질,0.000672591
210,악마,0.000637575,,210,시간대,0.000670807
211,비판,0.000636378,,211,담배,0.000668223
212,두려움,0.000634175,,212,연결,0.000667849
213,면도,0.000631686,,213,피트,0.000664698
214,기가,0.000630188,,214,식상,0.000661218
215,상황,0.000630027,,215,주의,0.000658486
216,명이,0.000628779,,216,김병,0.000655335
217,국제,0.000621802,,217,구들,0.000651873
218,영광,0.000621793,,218,국민,0.00064895
219,무지,0.000614016,,219,이번,0.000637603
220,점도,0.000610865,,220,트라,0.00063618
221,이즈,0.000608961,,221,과거,0.000629299
222,외로움,0.000607011,,222,고뇌,0.000621886
223,볼려,0.00060606,,223,시대적,0.00061888
224,콘서트,0.00060194,,224,일주일,0.000613626
225,재밋고,0.000600063,,225,우마,0.000613319
226,전작,0.000600035,,226,브루스,0.000605974
227,성적,0.000595834,,227,개봉당시,0.000605938
228,출신,0.000595517,,228,국산,0.000605626
229,감동,0.000594217,,229,니퍼,0.000597299
230,조심,0.000592407,,230,마지막회,0.000594688
231,광기,0.000588737,,231,주제가,0.000594217
232,임청하,0.000588301,,232,영원,0.000590808
